Main.Row	Main.Col	Sub.Row	Sub.Col	SubgridAlias	SpotType	Dilution
3	5	2	3	Sample-X-1-7	Sample	1.5625
3	5	2	4	NegCtrl	NegCtrl	0
3	5	3	1	Sample-X-1-1	Sample	100
3	5	3	2	Sample-X-1-2	Sample	50
3	5	3	3	Sample-X-1-3	Sample	25
3	5	3	4	Sample-X-1-4	Sample	12.5
3	5	4	1	Sample-X-1-5	Sample	6.25
3	5	4	2	Sample-X-1-6	Sample	3.125
3	5	4	3	Sample-X-1-7	Sample	1.5625
3	5	4	4	PosCtrl	PosCtrl	100
3	6	1	1	Sample-X-1-1	Sample	100
3	6	1	2	Sample-X-1-2	Sample	50
3	6	1	3	Sample-X-1-3	Sample	25
3	6	1	4	Sample-X-1-4	Sample	12.5
3	6	2	1	Sample-X-1-5	Sample	6.25
3	6	2	2	Sample-X-1-6	Sample	3.125
3	6	2	3	Sample-X-1-7	Sample	1.5625
3	6	2	4	NegCtrl	NegCtrl	0
3	6	3	1	Sample-X-1-1	Sample	100
3	6	3	2	Sample-X-1-2	Sample	50
3	6	3	3	Sample-X-1-3	Sample	25
3	6	3	4	Sample-X-1-4	Sample	12.5
3	6	4	1	Sample-X-1-5	Sample	6.25
3	6	4	2	Sample-X-1-6	Sample	3.125
3	6	4	3	Sample-X-1-7	Sample	1.5625
3	6	4	4	PosCtrl	PosCtrl	100
3	7	1	1	Sample-X-1-1	Sample	100
3	7	1	2	Sample-X-1-2	Sample	50
3	7	1	3	Sample-X-1-3	Sample	25
3	7	1	4	Sample-X-1-4	Sample	12.5
3	7	2	1	Sample-X-1-5	Sample	6.25
3	7	2	2	Sample-X-1-6	Sample	3.125
3	7	2	3	Sample-X-1-7	Sample	1.5625
3	7	2	4	NegCtrl	NegCtrl	0
3	7	3	1	Sample-X-1-1	Sample	100
3	7	3	2	Sample-X-1-2	Sample	50
3	7	3	3	Sample-X-1-3	Sample	25
3	7	3	4	Sample-X-1-4	Sample	12.5
3	7	4	1	Sample-X-1-5	Sample	6.25
3	7	4	2	Sample-X-1-6	Sample	3.125
3	7	4	3	Sample-X-1-7	Sample	1.5625
3	7	4	4	PosCtrl	PosCtrl	100
3	8	1	1	Sample-X-1-1	Sample	100
3	8	1	2	Sample-X-1-2	Sample	50
3	8	1	3	Sample-X-1-3	Sample	25
3	8	1	4	Sample-X-1-4	Sample	12.5
3	8	2	1	Sample-X-1-5	Sample	6.25
3	8	2	2	Sample-X-1-6	Sample	3.125
3	8	2	3	Sample-X-1-7	Sample	1.5625
3	8	2	4	NegCtrl	NegCtrl	0
3	8	3	1	Sample-X-1-1	Sample	100
3	8	3	2	Sample-X-1-2	Sample	50
3	8	3	3	Sample-X-1-3	Sample	25
3	8	3	4	Sample-X-1-4	Sample	12.5
3	8	4	1	Sample-X-1-5	Sample	6.25
3	8	4	2	Sample-X-1-6	Sample	3.125
3	8	4	3	Sample-X-1-7	Sample	1.5625
3	8	4	4	PosCtrl	PosCtrl	100
3	9	1	1	Sample-X-1-1	Sample	100
3	9	1	2	Sample-X-1-2	Sample	50
3	9	1	3	Sample-X-1-3	Sample	25
3	9	1	4	Sample-X-1-4	Sample	12.5
3	9	2	1	Sample-X-1-5	Sample	6.25
3	9	2	2	Sample-X-1-6	Sample	3.125
3	9	2	3	Sample-X-1-7	Sample	1.5625
3	9	2	4	NegCtrl	NegCtrl	0
3	9	3	1	Sample-X-1-1	Sample	100
3	9	3	2	Sample-X-1-2	Sample	50
3	9	3	3	Sample-X-1-3	Sample	25
3	9	3	4	Sample-X-1-4	Sample	12.5
3	9	4	1	Sample-X-1-5	Sample	6.25
3	9	4	2	Sample-X-1-6	Sample	3.125
3	9	4	3	Sample-X-1-7	Sample	1.5625
3	9	4	4	PosCtrl	PosCtrl	100
3	10	1	1	Sample-X-1-1	Sample	100
3	10	1	2	Sample-X-1-2	Sample	50
3	10	1	3	Sample-X-1-3	Sample	25
3	10	1	4	Sample-X-1-4	Sample	12.5
3	10	2	1	Sample-X-1-5	Sample	6.25
3	10	2	2	Sample-X-1-6	Sample	3.125
3	10	2	3	Sample-X-1-7	Sample	1.5625
3	10	2	4	NegCtrl	NegCtrl	0
3	10	3	1	Sample-X-1-1	Sample	100
3	10	3	2	Sample-X-1-2	Sample	50
3	10	3	3	Sample-X-1-3	Sample	25
3	10	3	4	Sample-X-1-4	Sample	12.5
3	10	4	1	Sample-X-1-5	Sample	6.25
3	10	4	2	Sample-X-1-6	Sample	3.125
3	10	4	3	Sample-X-1-7	Sample	1.5625
3	10	4	4	PosCtrl	PosCtrl	100
3	11	1	1	Sample-X-1-1	Sample	100
3	11	1	2	Sample-X-1-2	Sample	50
